id,hasrt,hastag,numurls,cleantext,textlen,wordCount
110,FALSE,"#acupuncture, #jawproblems, #allnatural, #naturalhealing, #alternativemedicine",1,acupuncture jawproblems allnatural naturalhealing alternativemedicine,69,5
156,TRUE,"#aloe, #aloevera, #weightloss, #heartburn, #plants, #medicinalplants, #health",0,aloe aloevera weightloss heartburn plants medicinalplants health aloe vera health benefits weight loss hear,107,14
377,FALSE,"#Health, #CBD, #cbdoil, #Canada, #USA, #BreakoutLive",1,benefits of cbd oil that are amazingamazing health cbd cbdoil canada usa breakoutlive,85,13
3800,FALSE,"#Medicinal, #Garden:, #Herbs, #Plant, #Spring., #homesteading, #herbalremedies, #diy, #gardening",1,your medicinal garden ten herbs to plant this spring homesteading herbalremedies diy gardening,94,13
